wn_synset	babelnet_id	pos	lemmata en	lemmata es	definition	confidence	dist_from_music	dist_from_entity
n06872354	bn:00008916n	n	bass, bass_voice, basso	bajo, base	the lowest adult male singing voice	0.875	5	5
n04986796	bn:00008911n	n	bass	bajo, grave, sonido_grave	the lowest part of the musical range	0.712	8	6
n07032556	bn:00008940n	n	figured_bass, basso_continuo, continuo, thorough_bass	bajo_cifrado, continuo	a bass part written out in full and accompanied by numbers to indicate the chords to be played	0.867	4	8
n09842716	bn:00008943n	n	bassoonist	bajonista, fagotista, fagot, piporro, bajón	a musician who plays the bassoon	0.724	11	7
n02804123	bn:00008923n	n	bass_guitar	bajos, bajo, guitarra_baja, guitarra_bajo, bajo_eléctrico	the guitar with six strings that has the lowest pitch	0.678	13	9
n06378427	bn:00008156n	n	ballade	balada	a poem consisting of 3 stanzas and an envoy	0.67	7	7
n07049713	bn:00008153n	n	ballad, lay	balada, poema_narrativo	a narrative song with a recurrent refrain	0.4	3	7
n10624540	bn:00008155n	n	songwriter, songster, ballad_maker	baladista, cancionista, compositor_de_canciones, compositor	a composer of words or music for popular songs	0.722	12	8
n03721384	bn:00053421n	n	marimba, xylophone	balafo, marimbas, marimba, silofono, xilofonista, xilofonos, xilofono, xilofon, xilofón, silófono, xilófono, xilófonos	a percussion instrument with wooden bars tuned to produce a chromatic scale and with resonators; played with small mallets	0.621	13	9
n02776978	bn:00008042n	n	balalaika	balalaica, balalaika	a stringed instrument that has a triangular body and three strings	0.361	14	10
n07054336	bn:00008166n	n	ballet	ballet	music written for a ballet	1.0	1	5
n08188235	bn:00030961n	n	ensemble	banda, conjunto, grupo	a group of musicians playing or singing together	0.875	8	6
n08249038	bn:00008280n	n	band	banda, grupo	instrumentalists not including string players	0.894	8	6
n08249459	bn:00021561n	n	concert_band, military_band	banda_de_guerra_mexicana, banda_de_musica_sinfonica, banda_sinfonica, bandas_de_musica_sinfonica, bandas_sinfonicas, orquesta_militar, banda_sinfónica, bandas_sinfónicas, banda_de_música_militar, banda_de_música_sinfónica, bandas_de_música_sinfónica	a group of musicians playing brass and woodwind and percussion instruments	0.471	9	7
n08250302	bn:00020889n	n	jazz_band, jazz_group, combo	banda_de_jazz, combo, grupo_de_jazz, jazz_band, jazzband	a small band of jazz musicians	0.836	9	7
n08249207	bn:00053366n	n	marching_band	banda_de_marcha	a band that marches (as in a parade) and plays music at the same time	0.471	9	7
n08250501	bn:00068051n	n	rock_group, rock_band	banda_de_rock, conjunto, equipo, grupo_de_rock, grupo	a band of musicians who play rock'n'roll music	0.894	9	7
n08249336	bn:00012794n	n	brass_band	banda_de_viento-metal, brass_band	a group of musicians playing only brass and percussion instruments	0.581	9	7
n02786736	bn:00008319n	n	bandoneon	bandoneon, bandoneón	a type of concertina popular in South America	0.448	15	11
n03715669	bn:00042732n	n	mallet, hammer	baqueta_de_bateria, baqueta, escobilla, mazo, baqueta_de_batería	a light drumstick with a rounded head that is used to strike such percussion instruments as chimes, kettledrums, marimbas, glockenspiels, etc.	0.5	13	9
n11322178	bn:00008549n	n	Streisand, Barbra_Streisand, Barbra_Joan_Streisand	barbara_joan_streisand, barbra_joan_streisand, barbra_streisand	United States singer and actress (born in 1942)	0.309	12	8
n10834439	bn:00008533n	n	Barber, Samuel_Barber	barber, samuel_barber, samuel_osborne_barber	United States composer (1910-1981)	0.547	12	8
n07049931	bn:00008552n	n	barcarole, barcarolle	barcarolle, barcarola, barcarole	a boating song sung by Venetian gondoliers	0.738	3	7
n06872562	bn:00008587n	n	baritone, baritone_voice	barítono	the second lowest adult male singing voice	0.5	5	5
n09839436	bn:00008586n	n	baritone, barytone	baritono, barítono	a male singer	0.913	12	8
n10834869	bn:00008632n	n	Barnum, P._T._Barnum, Phineas_Taylor_Barnum	barnum, p._t._barnum, p.t._barnum, p_t._barnum, p_t_barnum, phineas_taylor_barnum	United States showman who popularized the circus (1810-1891)	0.054	14	10
n06800698	bn:00008483n	n	bar_line	barra_de_compás	a vertical line before the accented beat marking the boundary between musical bars	0.752	6	6
n06864725	bn:00008465n	n	measure, bar	barra_de_compas, bar, compas, compás, barra_de_compás	musical notation for a repeating pattern of musical beats	0.736	7	7
n02795670	bn:00008703n	n	barrelhouse, honky-tonk	barrelhouse, garito, honky-tonk, honky_tonk	a cheap drinking and dancing establishment	0.675	13	9
n10837258	bn:00008751n	n	Bartok, Bela_Bartok	bartok, bela_bartok, béla_bartók, bartók_bâratö	Hungarian composer and pianist who collected Hungarian folk music; in 1940 he moved to the United States (1881-1945)	0.468	12	8
n10539715	bn:00013851n	n	rotter, dirty_dog, rat, skunk, stinker, stinkpot, bum, puke, crumb, lowlife, scum_bag, so-and-so, git	basca, bastardo, canalla, cretino, fulano, gilipollas, git, indigente, mierda, miserable, pendejo, perro, rata, vagabunda, vagabundo, villano, zorro, bribón, cabrón, vómito, sinvergüenza	a person who is deemed to be despicable or contemptible	0.0	10	6
n03510866	bn:00008932n	n	heckelphone, basset_oboe	basset_oboe, heckelfono, heckelfon, heckelphone, heckelfón, oboe_barítono	an oboe pitched an octave below the ordinary oboe	0.727	17	13
n09815188	bn:00006506n	n	asshole, bastard, cocksucker, dickhead, shit, mother_fucker, motherfucker, prick, whoreson, son_of_a_bitch, SOB	bastardo, capullo, cerdo, gilipollas, hideputa, hijo_de_puta, hijoputa, hijueputa, mierda, pendejo, coño, cabrón, huevón	insulting terms of address for people who are stupid or irritating or ridiculous	0.231	10	6
n10036692	bn:00028898n	n	drum_majorette, majorette	bastonera, batonista, majorette	a female drum major	0.163	12	8
n10036929	bn:00028909n	n	drummer	baterista, tamborilero, tambor, batería	someone who plays a drum	0.503	12	8
n02809364	bn:00009041n	n	baton, wand	batuta	a thin tapered rod used by a conductor to lead an orchestra or choir	0.569	12	8
n08369920	bn:00009414n	n	Beatles	beatles, les_beatles, los_beatles, the_beatles	a rock group from Liverpool who between 1962 and 1970 produced a variety of hit songs and albums (most of them written by Paul McCartney and John Lennon)	0.558	10	8
n07063101	bn:00009460n	n	bop, bebop	be-bop, be_bop, bebop, bopper, bop	an early form of modern jazz (originating around 1940)	0.775	4	7
n06867218	bn:00015177n	n	natural, cancel	becuadro, natural, ♮	a notation cancelling a previous sharp or flat	0.536	7	7
n11305159	bn:00009511n	n	Smetana, Bedrich_Smetana	bedrich_smetana, smetana, bedřich_smetana	Czech composer (1824-1884)	0.417	12	8
n10841405	bn:00009608n	n	Beethoven, van_Beethoven, Ludwig_van_Beethoven	beethoven, ludwig_van_beethoven	German composer of instrumental music (especially symphonic and chamber music); continued to compose after he lost his hearing (1770-1827)	0.403	12	8
a03028987	bn:00098189a	a	Beethovenian	beethoveniano	of or relating to Ludwig van Beethoven or his music	1.0	99	99
n14498404	bn:00009615n	n	befoulment, defilement, pollution	befoulment, contaminación	the state of being polluted	0.5	9	7
n00546216	bn:00009681n	n	bel_canto	bel_canto, belcantismo, belcantista	a style of operatic singing	0.752	11	9
n10842923	bn:00009783n	n	Bellini, Vincenzo_Bellini	bellini, vincenzo_bellini, vincenzo_salvatore_carmelo_francesco_bellini	Italian composer of operas (1801-1835)	0.621	12	8
n06866919	bn:00035081n	n	flat	bemol	a musical notation indicating one half step lower than the note named	0.541	7	7
a01578152	bn:00103062a	a	flat	bemol	(of a musical note) lowered in pitch by one chromatic semitone	1.0	99	99
n10864635	bn:00009935n	n	Britten, Benjamin_Britten, Edward_Benjamin_Britten, Lord_Britten_of_Aldeburgh	benjamin_britten, edward_benjamin_britten	major English composer of the 20th century; noted for his operas (1913-1976)	0.511	12	8
n11007332	bn:00009936n	n	Goodman, Benny_Goodman, Benjamin_David_Goodman, King_of_Swing	benjamin_david_goodman, benny_goodman	United States clarinetist who in 1934 formed a big band (including black as well as white musicians) and introduced a kind of jazz known as swing (1909-1986)	0.605	12	8
n07051851	bn:00009999n	n	lullaby, cradlesong, berceuse	berceuse, cancion_de_cuna, nana, canción_de_cuna	a quiet song intended to lull a child to sleep	0.425	3	7
n10847653	bn:00010031n	n	Berlioz, Hector_Berlioz, Louis-Hector_Berlioz	berlioz, hector_berlioz, louis_hector_berlioz, héctor_berlioz	French composer of romantic works (1803-1869)	0.4	12	8
n10848802	bn:00010062n	n	Bernstein, Leonard_Bernstein	bernstein, leonard_bernstein, louis_bernstein	United States conductor and composer (1918-1990)	0.555	12	8
n10849083	bn:00010068n	n	Berry, Chuck_Berry, Charles_Edward_Berry	berry, charles_edward_anderson_berry, chuck_berry	United States rock singer (born in 1931)	0.601	13	9
n11305745	bn:00010096n	n	Smith, Bessie_Smith	bessie_smith	United States blues singer (1894-1937)	0.446	12	8
n11300326	bn:00009773n	n	Sills, Beverly_Sills, Belle_Miriam_Silverman	beverley_sills, beverly_sills	United States operatic soprano (born in 1929)	0.502	13	9
n08250168	bn:00010293n	n	big_band	big_bands, big_band	a large dance or jazz band usually featuring improvised solos by lead musicians	0.793	9	7
n11024226	bn:00010402n	n	Haley, Bill_Haley, William_John_Clifton_Haley_Jr.	bill_haley, bill_halley	United States rock singer who was one of the first to popularize rock'n'roll music (1925-1981)	0.451	13	9
n10916731	bn:00010497n	n	Crosby, Bing_Crosby, Harry_Lillis_Crosby	bing_crosby, harry_lillis_crosby	United States singer and film actor (1904-1977)	0.296	11	7
n00099439	bn:00030701n	n	encore	bis, encore	an extra or repeated performance; usually given in response to audience demand	0.667	13	11
n07025151	bn:00063473n	n	polytonality, polytonalism	bitonalidad, bitonalismo, bitonal, bitono, multitonalidad, politonalidad, politonalismo, politonal, politono	music that uses two or more different keys at the same time	0.829	1	5
n10851865	bn:00010811n	n	Bizet, Georges_Bizet	bizet, georges_bizet	French composer best known for his operas (1838-1875)	0.444	12	8
n07025604	bn:00001819n	n	black_music, African-American_music	black_music, musica_afroamericana, musica_afroestadounidense, música_afroamericana, música_afroestadounidense, canciones_de_musica_afroamericana, canciones_de_música_afroamericana, aspectos_de_la_musica_afroamericana, aspectos_de_la_música_afroamericana	music created by African-American musicians; early forms were songs that had a melodic line and a strong rhythmic beat with repeated choruses	0.759	2	5
n07062190	bn:00011585n	n	bluegrass	blue_grass, bluegrass	a type of country music played at a rapid tempo on banjos and guitars	0.729	5	8
n07051517	bn:00011537n	n	blue_note	blue_note, nota_de_blues, notas_de_blues	a flattened third or seventh	0.867	8	8
n07051185	bn:00011596n	n	blues	blues	a type of folksong that originated among Black Americans at the beginning of the 20th century; has a melancholy sound from repeated use of blue notes	0.635	3	6
n10947108	bn:00011703n	n	Dylan, Bob_Dylan	bob_dylan, robert_allen_zimmerman	United States songwriter noted for his protest songs (born in 1941)	0.525	12	8
n11157580	bn:00011705n	n	Marley, Robert_Nesta_Marley, Bob_Marley	bob_marley, donald_marley, marley, nesta_robert_marley, norval_marley, norval_sinclair_marley, robert_nesta_marley, tuff_gong	Jamaican singer who popularized reggae (1945-1981)	0.415	12	8
n07385803	bn:00045151n	n	hum, humming	bocaquiusa, murmullo, que_zumba, tararear, tarareo, zumbido, zumba	a humming noise	0.414	9	7
n00134780	bn:00010281n	n	punch, clout, poke, lick, biff, slug	bofetada, gancho, golpazo, mamporro, paliza, pinchazo, punch, punetazo, tortazo, trompada, trompazo, puñete, bofetón, puñetazo	(boxing) a blow with the fist	0.425	12	10
n07055103	bn:00011854n	n	bolero	bolero	music written in the rhythm of the bolero dance	0.672	2	6
n00271155	bn:00040447n	n	gig	bolo, concierto, empleo, actuación	a booking for musicians	0.682	11	9
n02867267	bn:00011924n	n	bombardon, bombard	bombarda	a large shawm; the bass member of the shawm family	0.444	13	9
n02793089	bn:00008588n	n	baritone, baritone_horn	bombardino, barítono, bombardino_barítono	the second lowest brass wind instrument	0.629	14	10
n03301568	bn:00031852n	n	euphonium	bombardinos, bombardino, eufonio, euphonium, tuba_tenor	a bass horn (brass wind instrument) that is the tenor of the tuba family	0.631	14	10
n02803666	bn:00008921n	n	bass_drum, gran_casa	bombo, cacaaaaa, gran_casa, grancassa, no_sirve_para_nada, tambora	a large drum with two heads; makes a sound of indefinite but very low pitch	0.629	14	10
n07063249	bn:00012057n	n	boogie, boogie-woogie	boogie-woogie, boogie_woogie, boogie, bugui-bugui, bugui	an instrumental version of the blues (especially for piano)	0.725	4	7
n03436182	bn:00012150n	n	ghetto_blaster, boom_box	boombox, radio_grabador, radiocasetera, radiocasete, radiocaset, radiograbador, reproductor_de_casetes	a portable stereo	0.32	14	10
n03245724	bn:00012438n	n	drone, drone_pipe, bourdon	bordone, bourdon, nota_pedal, pedal, bordón	a pipe of the bagpipe that is tuned to produce a single continuous tone	0.792	14	10
n11003599	bn:00012241n	n	Godunov, Boris_Godunov, Boris_Fyodorovich_Godunov	boris_fyodorovich_godunov, boris_godunov, godunov	czar of Russia (1551-1605)	0.458	11	7
n13978344	bn:00074459n	n	storm, tempest	borrasca, tempestad, temporal, tormenta	a violent commotion or disturbance	1.0	8	6
n07026646	bn:00012392n	n	comic_opera, opera_bouffe, bouffe, opera_comique	bouffe, commedia_per_musica, opera_buffa, opera_bufa, opera_comica, opera_comique, ópera_bufa, ópera_buffa, ópera_cómica	opera with a happy ending and in which some of the text is spoken	0.537	4	7
n10859369	bn:00012409n	n	Boulez, Pierre_Boulez	boulez, pierre_boulez	French composer of serial music (born in 1925)	0.594	12	8
n10862113	bn:00012669n	n	Brahms, Johannes_Brahms	brahms, johannes_brahms	German composer who developed the romantic style of both lyrical and classical music (1833-1897)	0.613	12	8
n07230089	bn:00011623n	n	braggadocio, bluster, rodomontade, rhodomontade	bravata, fanfarronada, rhodomontade	vain and empty boasting	0.917	9	7
n05637356	bn:00012842n	n	bravura	bravura	brilliant and showy technical skill	0.75	9	7
n11372799	bn:00013482n	n	Walter, Bruno_Walter	bruno_walter, walter, gualtério	German conductor (1876-1962)	0.618	12	8
n06572857	bn:00051985n	n	loop	bucle, ciclo, loop	a computer program that performs a series of instructions repeatedly until some specified condition is satisfied	0.704	9	9
n11056654	bn:00013635n	n	Holly, Buddy_Holly, Charles_Hardin_Holley	buddy_holly, charles_hardin_holley, holly	United States rock star (1936-1959)	0.553	13	9
n07387509	bn:00057863n	n	noise	bullicio, ruido	sound of any kind (especially unintelligible or dissonant sound)	0.868	8	6
n06780309	bn:00013998n	n	parody, lampoon, spoof, sendup, mockery, takeoff, burlesque, travesty, charade, pasquinade, put-on	burla, farsa, parodiador, parodiar, parodico, parodista, parodia, sátira, pasquín, paródico, ridiculización	a composition that imitates or misrepresents somebody's style, usually in a humorous way	0.175	6	6
n00549610	bn:00055432n	n	parody, mockery, takeoff	burla, parodia, imitación	humorous or satirical mimicry	0.763	11	9
n10926597	bn:00019595n	n	Debussy, Claude_Debussey, Claude_Achille_Debussy	c._debussy, c_debussy, claude-achille_debussy, claude_achille_debussy, claude_debussy, claudio_aquiles_debussy, claudio_debussy, debussy, claude_debussý	French composer who is said to have created Impressionism in music (1862-1918)	0.464	12	8
